digest,txId,sender,recipient,timestamp,gasPrice,accountNonce,value,commitTime,Broadcast,Monoxide_d1,Monoxide_d2,LBF_d1,LBF_d2,Proposed_d1,Proposed_d2
d96c3d472be3f711095aa66f86c205e86c689dda7dd493597bbfde1892b30c0c,1,0x9990f7e058ed31e6af66396499b989cae124cc23,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113856,11.0,11,4.99900253e+18,1627488117778,1,3,8,1,9,7,15
62aa2f1bd57788acaee02c4f753bafdd12d4af165dd332d5acf8dbdbb397aa2e,2,0xaf17a4ab5d6b10055fc1eb1bfaccbde69b83af76,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113856,11.0,11,6.099884976e+19,1627488117798,1,6,8,1,8,7,15
cd7ea01fb44f8dd4c6715cf679632f40d51b717781301a27ea52ca8452b70934,5,0xef247e639d49461d25f57e9362cade3120910ce0,0xf87481a262e993a75f791e7859e71bac36a606eb,1627488113858,11.0,11,1.29e+20,1627488117809,1,0,11,6,6,12,12
68e50984303f0063f29f09040c2d74cbdb3d5f8107babe3368d8560f29de8ad5,7,0x226e8b888e9f360e1aea28229c40e2adc5d698b5,0xba8c9cda6af013cc68a076e17c84d4cdbc5960c5,1627488113859,11.0,11,1.46e+19,1627488117817,1,5,5,6,6,9,9
12df3bff5973a788d56e3c1415ed98d93653b75e6f4f445d3da46bc98436bb4d,8,0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113860,11.0,11,4.99873588e+18,1627488117833,1,8,13,1,5,0,0
aeb1be21cbd2a0445d582b7853c397392f62d86683d53c7788a1f2498d7a98e7,9,0x2c84b6a0cf0c22b45e5e9da2df136c8f08da5b51,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113861,11.0,11,2.07910779373e+21,1627488117842,1,1,8,1,12,14,15
9d5ee10a930c8ef36315da89bfd70d8a053538965409331fc63f5e19793ea1bb,10,0xf87481a262e993a75f791e7859e71bac36a606eb,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113861,11.0,11,1.2899873588e+20,1627488117852,1,8,11,1,6,0,0
bb9f2506b755b5fe62c827c7b82eef54266f51281e77f3176a4cb4e3058dd12e,13,0x52f791ee5e11186fc120eab36dd80277f6a630bb,0xc47aaa860008be6f65b58c6c6e02a84e666efe31,1627488113863,11.0,11,2.5165367999999e+17,1627488117863,1,1,11,2,9,6,6
f2a21116337a52af9e817d6cbf00b62736590118aa965574780cd910fb7d9427,15,0xba8c9cda6af013cc68a076e17c84d4cdbc5960c5,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113864,11.0,11,1.459883424e+19,1627488117869,1,5,8,1,6,9,15
16514e603b66a54123deb1ded89f05166a218005acc6b0e37b82179223d7fa70,20,0x0b6435ddf12093801c9d3e069f9bdf7fe2906080,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113869,11.0,11,5.998881913e+19,1627488117879,1,0,8,1,11,8,15
